wavelengths,flambda
499,1.0717970000000002e-14
500,1.0506190000000002e-14
501,1.0137470000000003e-14
502,1.0051380000000003e-14
503,1.0593170000000002e-14
504,1.0093780000000004e-14
505,1.0473730000000005e-14
506,1.0810870000000003e-14
507,1.0434010000000002e-14
508,1.0128320000000001e-14
509,1.0682810000000002e-14
510,1.0288400000000004e-14
511,1.0391630000000004e-14
512,1.0489670000000002e-14
513,1.0152700000000001e-14
514,9.901840000000002e-15
515,1.0163690000000002e-14
516,1.0067300000000003e-14
517,8.233660000000002e-15
518,9.137700000000002e-15
519,9.572270000000002e-15
520,1.0081460000000002e-14
521,9.937150000000003e-15
522,1.0244620000000002e-14
523,9.766660000000002e-15
524,1.0541980000000002e-14
525,1.0307380000000002e-14
526,1.0054840000000001e-14
527,9.137420000000002e-15
528,1.0099050000000001e-14
529,1.0632140000000004e-14
530,1.0173620000000004e-14
531,1.0744990000000004e-14
532,1.0303700000000002e-14
533,9.842330000000002e-15
534,1.0169440000000002e-14
535,1.0371410000000006e-14
536,1.0579550000000003e-14
537,9.948980000000002e-15
538,1.0402120000000002e-14
539,1.0217350000000002e-14
540,9.88018e-15
541,9.899700000000003e-15
542,1.0227810000000002e-14
543,1.0057260000000001e-14
544,1.0458110000000001e-14
545,1.0196890000000003e-14
546,1.0226770000000005e-14
547,1.0240730000000002e-14
548,9.987160000000004e-15
549,1.0236110000000002e-14
550,1.023137e-14
551,1.0076630000000002e-14
552,1.0278630000000002e-14
553,9.955800000000003e-15
554,1.0144580000000004e-14
555,1.0357920000000003e-14
556,1.009795e-14
557,9.857740000000001e-15
558,1.0031740000000002e-14
559,9.513890000000002e-15
560,9.682740000000002e-15
561,1.0141760000000002e-14
562,9.770030000000003e-15
563,1.0028700000000001e-14
564,9.938000000000003e-15
565,1.0036280000000003e-14
566,9.660900000000002e-15
567,9.959880000000002e-15
568,9.901280000000002e-15
569,9.838440000000002e-15
570,9.854780000000003e-15
571,9.467150000000002e-15
572,9.988270000000002e-15
573,1.0075340000000001e-14
574,1.0049880000000002e-14
575,9.860050000000002e-15
576,9.80486e-15
577,9.980860000000002e-15
578,9.726590000000002e-15
579,9.785650000000002e-15
580,9.924400000000002e-15
581,9.895830000000002e-15
582,9.985390000000002e-15
583,1.0012530000000002e-14
584,1.0048e-14
585,9.830730000000003e-15
586,9.636600000000002e-15
587,9.901170000000001e-15
588,9.802790000000001e-15
589,8.808820000000002e-15
590,9.363190000000002e-15
591,9.657540000000003e-15
592,9.64644e-15
593,9.541670000000002e-15
594,9.632820000000003e-15
595,9.45275e-15
596,9.569750000000001e-15
597,9.561130000000001e-15
598,9.422270000000002e-15
599,9.397560000000002e-15
600,9.415810000000003e-15
601,9.281130000000003e-15
602,9.154870000000003e-15
603,9.365900000000002e-15
604,9.422760000000002e-15
605,9.432030000000001e-15
606,9.370220000000002e-15
607,9.440790000000002e-15
608,9.233650000000003e-15
609,9.205400000000002e-15
610,9.094780000000001e-15
611,9.254070000000002e-15
612,9.082510000000002e-15
613,9.142130000000002e-15
614,8.937070000000001e-15
615,9.114500000000001e-15
616,8.774250000000002e-15
617,8.836940000000002e-15
618,9.140250000000002e-15
619,8.991820000000002e-15
620,9.18601e-15
621,9.114590000000002e-15
622,8.978400000000002e-15
623,8.900090000000001e-15
624,8.916450000000002e-15
625,8.826850000000001e-15
626,8.809070000000003e-15
627,8.958440000000002e-15
628,8.713400000000002e-15
629,8.934030000000001e-15
630,8.71578e-15
631,8.824290000000003e-15
632,8.720240000000002e-15
633,8.882270000000002e-15
634,8.740410000000001e-15
635,8.869410000000001e-15
636,8.674220000000002e-15
637,8.831240000000001e-15
638,8.814860000000001e-15
639,8.784330000000003e-15
640,8.649590000000003e-15
641,8.600050000000001e-15
642,8.615950000000002e-15
643,8.692000000000002e-15
644,8.675490000000002e-15
645,8.634340000000001e-15
646,8.54425e-15
647,8.594900000000002e-15
648,8.606120000000002e-15
649,8.449570000000001e-15
650,8.405590000000003e-15
651,8.676230000000003e-15
652,8.546040000000002e-15
653,8.573730000000002e-15
654,8.519300000000001e-15
655,8.278160000000002e-15
656,6.923900000000002e-15
657,7.888440000000002e-15
658,8.401410000000001e-15
659,8.332470000000001e-15
660,8.434040000000002e-15
661,8.390470000000002e-15
662,8.462840000000001e-15
663,8.306980000000002e-15
664,8.307570000000002e-15
665,8.357400000000001e-15
666,8.294500000000001e-15
667,8.297590000000002e-15
668,8.218000000000002e-15
669,8.28885e-15
670,8.216490000000001e-15
671,8.20694e-15
672,8.108580000000001e-15
673,8.177960000000001e-15
674,8.1775e-15
675,8.126630000000002e-15
676,8.159350000000002e-15
677,8.077370000000002e-15
678,8.129130000000001e-15
679,8.125560000000002e-15
680,8.089360000000002e-15
681,8.072160000000001e-15
682,8.073980000000002e-15
683,8.048350000000001e-15
684,7.956090000000002e-15
685,7.964890000000002e-15
686,7.938060000000003e-15
687,7.950460000000003e-15
688,7.959850000000002e-15
689,7.931700000000002e-15
690,7.936950000000002e-15
691,7.931200000000002e-15
692,7.891700000000002e-15
693,7.905050000000001e-15
694,7.89982e-15
695,7.880320000000001e-15
696,7.890640000000002e-15
697,7.911690000000001e-15
698,7.797490000000001e-15
699,7.854920000000002e-15
700,7.760150000000001e-15
701,7.730200000000002e-15
702,7.685850000000001e-15
703,7.732440000000001e-15
704,7.748850000000002e-15
705,7.799250000000001e-15
706,7.719320000000002e-15
707,7.727110000000002e-15
708,7.731120000000001e-15
709,7.648880000000002e-15
710,7.746760000000001e-15
711,7.681560000000002e-15
712,7.674420000000001e-15
713,7.64639e-15
714,7.757750000000001e-15
715,7.587470000000002e-15
716,7.643810000000001e-15
717,7.434300000000002e-15
718,7.2828e-15
719,6.994580000000001e-15
720,7.157630000000002e-15
721,7.379960000000002e-15
722,7.5249e-15
723,7.475190000000001e-15
724,7.312100000000001e-15
725,7.377370000000001e-15
726,7.344140000000001e-15
727,7.34189e-15
728,7.205280000000001e-15
729,7.050440000000001e-15
730,7.291090000000002e-15
731,7.173060000000002e-15
732,7.314580000000001e-15
733,7.238750000000002e-15
734,7.385150000000001e-15
735,7.261850000000002e-15
736,7.22637e-15
737,7.261640000000002e-15
738,7.24242e-15
739,6.9847400000000016e-15
740,7.134720000000002e-15
741,7.016390000000001e-15
742,7.0316100000000015e-15
743,7.23088e-15
744,7.18455e-15
745,7.143620000000001e-15
746,7.184460000000002e-15
747,7.24471e-15
748,7.161980000000001e-15
749,7.10614e-15
750,7.0639500000000015e-15
751,6.973150000000002e-15
752,7.079670000000002e-15
753,7.000200000000001e-15
754,7.105710000000002e-15
755,7.050930000000001e-15
756,7.011110000000001e-15
