wavelengths,flambda
641,3.902758091704257e-15
642,3.906013092678922e-15
643,3.889320779988331e-15
644,3.870428658946729e-15
645,3.7949734440450085e-15
646,3.794144789950726e-15
647,3.756277086304069e-15
648,3.7319420790172845e-15
649,3.7459040062749164e-15
650,3.770590744436251e-15
651,3.728341308708315e-15
652,3.762250549631203e-15
653,3.713049957975683e-15
654,3.710879957325907e-15
655,3.675993023802571e-15
656,3.3488654258487023e-15
657,3.5797678026815565e-15
658,3.525315094068748e-15
659,3.648212246253229e-15
660,3.6644753280460625e-15
661,3.615793390392001e-15
662,3.630548202502435e-15
663,3.6235910850346065e-15
664,3.610040504053993e-15
665,3.574992608943998e-15
666,3.563003951508005e-15
667,3.5083366274463176e-15
668,3.268736363393616e-15
669,3.523949901352268e-15
670,3.4909825837883496e-15
671,3.4922762380218697e-15
672,3.450599110157612e-15
673,3.4651869991411387e-15
674,3.4405181456005433e-15
675,3.4124750602803492e-15
676,3.415956599784387e-15
677,3.3956575552445785e-15
678,3.3860773600682283e-15
679,3.367334277532792e-15
680,3.361187929538507e-15
681,3.3592325443376084e-15
682,3.331565036052953e-15
683,3.3155702235712186e-15
684,3.242606932492593e-15
685,3.2282157743372048e-15
686,3.214444616367467e-15
687,3.1985571116101718e-15
688,3.184630953594021e-15
689,3.17075844944009e-15
690,3.157231714620464e-15
691,3.143782479824045e-15
692,3.130035168015293e-15
693,3.1185413184197713e-15
694,3.105855160774921e-15
695,3.092519195243189e-15
696,3.077132459866611e-15
697,3.0633136095749004e-15
698,3.1157572791245905e-15
699,3.0305728305403537e-15
700,3.037720717296075e-15
701,3.0863370780074227e-15
702,3.07292957399273e-15
703,3.03364898530762e-15
704,3.041959372411436e-15
705,3.0236574438542517e-15
706,2.961365309817112e-15
707,2.928868953932678e-15
708,3.0113289786242e-15
709,3.0105003245299172e-15
710,2.9784093533822553e-15
711,2.9954832046486324e-15
712,2.988526087180803e-15
713,2.9985712824963913e-15
714,2.996943782009058e-15
715,2.975887621857926e-15
716,2.9601014632848238e-15
717,2.8521558540389163e-15
718,2.78400352593933e-15
719,2.723958892575173e-15
720,2.739238320227311e-15
721,2.8948941360670768e-15
722,2.9067695242383838e-15
723,2.814335842714233e-15
724,2.735202357480336e-15
725,2.7607177497359545e-15
726,2.786316603555026e-15
727,2.7546429402246285e-15
728,2.6941869605834536e-15
729,2.656050987625699e-15
730,2.7093113881891792e-15
731,2.6851969578915204e-15
732,2.69580849953054e-15
733,2.6589721423465523e-15
734,2.658173295953502e-15
735,2.610707512509756e-15
736,2.6113930896381198e-15
